"","gene","gene_id","description","class","seq_type","chromosome","start_position","stop_position","feature_length","product_length","strand","locus_tag","note","genomic_accession","product_accession"
"1976","RBM4B",100144418,"RNA binding motif protein 4B","protein_coding","chromosome","2",5745364,5758177,12814,NA,1,NA,NA,"NC_010444.4",NA
"1977","RBM4",100144417,"RNA binding motif protein 4","protein_coding","chromosome","2",5776535,5784337,7803,NA,-1,NA,NA,"NC_010444.4",NA
"1978","RBM14",100625905,"RNA binding motif protein 14","protein_coding","chromosome","2",5791445,5800784,9340,NA,-1,NA,NA,"NC_010444.4",NA
"1979","CCS",414913,"copper chaperone for superoxide dismutase","protein_coding","chromosome","2",5819471,5833263,13793,NA,-1,NA,NA,"NC_010444.4",NA
"1980","CCDC87",100737994,NA,"protein_coding","chromosome","2",5833431,5838922,5492,NA,1,NA,NA,"NC_010444.4",NA
"1981","CTSF",100520004,NA,"protein_coding","chromosome","2",5855083,5860258,5176,NA,1,NA,NA,"NC_010444.4",NA
"1982","ACTN3",100519531,NA,"protein_coding","chromosome","2",5860386,5873779,13394,NA,-1,NA,NA,"NC_010444.4",NA
"1983","ZDHHC24",100519820,NA,"protein_coding","chromosome","2",5874509,5883525,9017,NA,1,NA,NA,"NC_010444.4",NA
"1984","BBS1",100627390,NA,"protein_coding","chromosome","2",5886989,5906468,19480,NA,-1,NA,NA,"NC_010444.4",NA
"1985","DPP3",100519350,NA,"protein_coding","chromosome","2",5907251,5948019,40769,NA,-1,NA,NA,"NC_010444.4",NA
"1986","PELI3",100519073,NA,"protein_coding","chromosome","2",5950552,5959786,9235,NA,-1,NA,NA,"NC_010444.4",NA
"1987","MRPL11",100518767,NA,"protein_coding","chromosome","2",5978470,5981449,2980,NA,1,NA,NA,"NC_010444.4",NA
"1988","NPAS4",100520174,NA,"protein_coding","chromosome","2",5990936,5995940,5005,NA,-1,NA,NA,"NC_010444.4",NA
"1989","LOC110259237",110259237,NA,"lncRNA","chromosome","2",6000225,6007562,7338,NA,-1,NA,NA,"NC_010444.4",NA
"1990","SLC29A2",100518596,NA,"protein_coding","chromosome","2",6027287,6036280,8994,NA,1,NA,NA,"NC_010444.4",NA
"1991","B4GAT1",100518412,"beta-1,4-glucuronyltransferase 1","protein_coding","chromosome","2",6043594,6045220,1627,NA,1,NA,NA,"NC_010444.4",NA
"1992","BRMS1",100518234,NA,"protein_coding","chromosome","2",6046077,6053672,7596,NA,1,NA,NA,"NC_010444.4",NA
"1993","RIN1",100520715,NA,"protein_coding","chromosome","2",6053875,6061051,7177,NA,1,NA,NA,"NC_010444.4",NA
"1994","CD248",100523587,NA,"protein_coding","chromosome","2",6070885,6073518,2634,NA,1,NA,NA,"NC_010444.4",NA
"1995","TMEM151A",100520884,NA,"protein_coding","chromosome","2",6090535,6095499,4965,NA,-1,NA,NA,"NC_010444.4",NA
"1996","YIF1A",100521064,NA,"protein_coding","chromosome","2",6097749,6101965,4217,NA,1,NA,NA,"NC_010444.4",NA
"1997","CNIH2",100521359,NA,"protein_coding","chromosome","2",6102347,6109424,7078,NA,-1,NA,NA,"NC_010444.4",NA
"1998","RAB1B",100144502,"RAB1B, member RAS oncogene family","protein_coding","chromosome","2",6110438,6116443,6006,NA,-1,NA,NA,"NC_010444.4",NA
"1999","KLC2",100521540,NA,"protein_coding","chromosome","2",6117236,6127048,9813,NA,-1,NA,NA,"NC_010444.4",NA
"2000","PACS1",100521836,NA,"protein_coding","chromosome","2",6138345,6277309,138965,NA,-1,NA,NA,"NC_010444.4",NA
"2001","LOC110259238",110259238,NA,"lncRNA","chromosome","2",6166234,6172027,5794,NA,1,NA,NA,"NC_010444.4",NA
"2002","LOC106509301",106509301,NA,"lncRNA","chromosome","2",6205485,6221647,16163,NA,1,NA,NA,"NC_010444.4",NA
"2003","LOC106509302",106509302,NA,"lncRNA","chromosome","2",6209106,6248226,39121,NA,-1,NA,NA,"NC_010444.4",NA
"2004","SF3B2",100522004,NA,"protein_coding","chromosome","2",6279039,6295550,16512,NA,-1,NA,NA,"NC_010444.4",NA
"2005","GAL3ST3",100522179,NA,"protein_coding","chromosome","2",6297797,6306200,8404,NA,1,NA,NA,"NC_010444.4",NA
"2006","CATSPER1",100689223,"cation channel sperm associated 1","protein_coding","chromosome","2",6312906,6321690,8785,NA,1,NA,"partial","NC_010444.4",NA
"2007","CST6",100622572,NA,"protein_coding","chromosome","2",6323737,6325519,1783,NA,-1,NA,NA,"NC_010444.4",NA
"2008","BANF1",100622671,NA,"protein_coding","chromosome","2",6333451,6335326,1876,NA,-1,NA,NA,"NC_010444.4",NA
"2009","EIF1AD",100623051,NA,"protein_coding","chromosome","2",6334882,6340125,5244,NA,1,NA,NA,"NC_010444.4",NA
"2010","SART1",100524846,NA,"protein_coding","chromosome","2",6355690,6373342,17653,NA,-1,NA,NA,"NC_010444.4",NA
"2011","TSGA10IP",100516590,NA,"protein_coding","chromosome","2",6374617,6391457,16841,NA,-1,NA,NA,"NC_010444.4",NA
"2012","DRAP1",100525028,NA,"protein_coding","chromosome","2",6409623,6411935,2313,NA,-1,NA,NA,"NC_010444.4",NA
"2013","C2H11orf68",100516777,NA,"protein_coding","chromosome","2",6411946,6414286,2341,NA,1,NA,NA,"NC_010444.4",NA
"2014","FOSL1",100525205,NA,"protein_coding","chromosome","2",6430158,6436173,6016,NA,1,NA,NA,"NC_010444.4",NA
"2015","CCDC85B",100525383,NA,"protein_coding","chromosome","2",6436787,6437828,1042,NA,-1,NA,NA,"NC_010444.4",NA
"2016","FIBP",100525557,"FGF1 intracellular binding protein","protein_coding","chromosome","2",6440483,6445927,5445,NA,1,NA,NA,"NC_010444.4",NA
"2017","CTSW",100525853,NA,"protein_coding","chromosome","2",6446105,6450357,4253,NA,-1,NA,NA,"NC_010444.4",NA
"2018","EFEMP2",100526031,NA,"protein_coding","chromosome","2",6455155,6463493,8339,NA,1,NA,NA,"NC_010444.4",NA
"2019","MUS81",100511000,NA,"protein_coding","chromosome","2",6462825,6470780,7956,NA,-1,NA,NA,"NC_010444.4",NA
"2020","CFL1",445532,"cofilin 1","protein_coding","chromosome","2",6471558,6475019,3462,NA,1,NA,"partial","NC_010444.4",NA
"2021","SNX32",100511178,NA,"protein_coding","chromosome","2",6474788,6488738,13951,NA,-1,NA,NA,"NC_010444.4",NA
"2022","LOC100511545",100511545,NA,"protein_coding","chromosome","2",6488853,6536657,47805,NA,1,NA,NA,"NC_010444.4",NA
"2023","OVOL1",100511364,NA,"protein_coding","chromosome","2",6526679,6538992,12314,NA,-1,NA,NA,"NC_010444.4",NA
"2024","AP5B1",100511736,NA,"protein_coding","chromosome","2",6538784,6551337,12554,NA,1,NA,NA,"NC_010444.4",NA
"2025","KAT5",100511913,"lysine acetyltransferase 5","protein_coding","chromosome","2",6560544,6572461,11918,NA,-1,NA,NA,"NC_010444.4",NA
"2026","RELA",100135665,"RELA proto-oncogene, NF-kB subunit","protein_coding","chromosome","2",6594869,6602684,7816,NA,1,NA,"partial","NC_010444.4",NA
"2027","SIPA1",100517325,NA,"protein_coding","chromosome","2",6606613,6618556,11944,NA,-1,NA,NA,"NC_010444.4",NA
"2028","PCNX3",100517513,NA,"protein_coding","chromosome","2",6619213,6639933,20721,NA,-1,NA,NA,"NC_010444.4",NA
"2029","MAP3K11",100736741,NA,"protein_coding","chromosome","2",6640061,6657717,17657,NA,1,NA,NA,"NC_010444.4",NA
"2030","KCNK7",100512393,NA,"protein_coding","chromosome","2",6657841,6662445,4605,NA,1,NA,NA,"NC_010444.4",NA
"2031","EHBP1L1",100518056,NA,"protein_coding","chromosome","2",6662460,6678721,16262,NA,-1,NA,NA,"NC_010444.4",NA
"2032","SSSCA1",100737568,NA,"protein_coding","chromosome","2",6680832,6684564,3733,NA,-1,NA,NA,"NC_010444.4",NA
"2033","LTBP3",100517877,NA,"protein_coding","chromosome","2",6701455,6720191,18737,NA,1,NA,NA,"NC_010444.4",NA
"2034","SCYL1",100517698,NA,"protein_coding","chromosome","2",6720047,6733477,13431,NA,-1,NA,NA,"NC_010444.4",NA
"2035","LOC102163816",102163816,NA,"lncRNA","chromosome","2",6749941,6794116,44176,NA,1,NA,NA,"NC_010444.4",NA
"2036","LOC100513133",100513133,NA,"lncRNA","chromosome","2",6803590,6811708,8119,NA,-1,NA,NA,"NC_010444.4",NA
"2037","FRMD8",100518413,NA,"protein_coding","chromosome","2",6822964,6843941,20978,NA,-1,NA,NA,"NC_010444.4",NA
"2038","SLC25A45",100518597,NA,"protein_coding","chromosome","2",6851101,6857886,6786,NA,1,NA,NA,"NC_010444.4",NA
"2039","TIGD3",100737751,NA,"protein_coding","chromosome","2",6865008,6867940,2933,NA,-1,NA,NA,"NC_010444.4",NA
"2040","DPF2",100513580,NA,"protein_coding","chromosome","2",6870331,6886548,16218,NA,-1,NA,NA,"NC_010444.4",NA
"2041","CDC42EP2",100513778,NA,"protein_coding","chromosome","2",6897497,6904040,6544,NA,-1,NA,NA,"NC_010444.4",NA
"2042","POLA2",100513971,NA,"protein_coding","chromosome","2",6922384,6950289,27906,NA,-1,NA,NA,"NC_010444.4",NA
"2043","SLC22A20",100514149,NA,"protein_coding","chromosome","2",6969878,6996239,26362,NA,-1,NA,NA,"NC_010444.4",NA
"2044","CAPN1",397027,"calpain 1","protein_coding","chromosome","2",6997513,7024410,26898,NA,-1,NA,NA,"NC_010444.4",NA
"2045","SPDYC",100518768,NA,"protein_coding","chromosome","2",7030881,7059455,28575,NA,-1,NA,NA,"NC_010444.4",NA
"2046","SYVN1",100514334,NA,"protein_coding","chromosome","2",7059444,7066617,7174,NA,1,NA,NA,"NC_010444.4",NA
"2047","MRPL49",100514890,"mitochondrial ribosomal protein L49","protein_coding","chromosome","2",7066514,7071812,5299,NA,-1,NA,NA,"NC_010444.4",NA
"2048","FAU",396977,NA,"protein_coding","chromosome","2",7070903,7072811,1909,NA,1,NA,NA,"NC_010444.4",NA
"2049","ZNHIT2",100514699,NA,"protein_coding","chromosome","2",7074657,7076657,2001,NA,1,NA,NA,"NC_010444.4",NA
"2050","TM7SF2",100514510,NA,"protein_coding","chromosome","2",7076778,7081502,4725,NA,-1,NA,NA,"NC_010444.4",NA
"2051","VPS51",100518951,NA,"protein_coding","chromosome","2",7081607,7094898,13292,NA,-1,NA,NA,"NC_010444.4",NA
"2052","TMEM262",100736864,NA,"protein_coding","chromosome","2",7098463,7099188,726,NA,1,NA,NA,"NC_010444.4",NA
"2053","ZFPL1",100515072,NA,"protein_coding","chromosome","2",7099227,7103581,4355,NA,-1,NA,NA,"NC_010444.4",NA
"2054","CDCA5",100519128,NA,"protein_coding","chromosome","2",7103648,7112772,9125,NA,1,NA,NA,"NC_010444.4",NA
"2055","LOC110255271",110255271,NA,"protein_coding","chromosome","2",7116801,7120772,3972,NA,1,NA,NA,"NC_010444.4",NA
"2056","NAALADL1",100515250,NA,"protein_coding","chromosome","2",7127197,7138420,11224,NA,1,NA,NA,"NC_010444.4",NA
"2057","SAC3D1",100519293,NA,"protein_coding","chromosome","2",7138409,7142294,3886,NA,-1,NA,NA,"NC_010444.4",NA
"2058","SNX15",100515425,NA,"protein_coding","chromosome","2",7143072,7155203,12132,NA,-1,NA,NA,"NC_010444.4",NA
"2059","LOC106509313",106509313,NA,"lncRNA","chromosome","2",7154121,7159234,5114,NA,1,NA,NA,"NC_010444.4",NA
"2060","ARL2",100515705,NA,"protein_coding","chromosome","2",7157963,7167024,9062,NA,-1,NA,NA,"NC_010444.4",NA
"2061","LOC110259239",110259239,NA,"lncRNA","chromosome","2",7175480,7178851,3372,NA,-1,NA,NA,"NC_010444.4",NA
"2062","BATF2",100515875,NA,"protein_coding","chromosome","2",7180019,7188996,8978,NA,1,NA,NA,"NC_010444.4",NA
"2063","MAJIN",100625922,NA,"protein_coding","chromosome","2",7209376,7244400,35025,NA,1,NA,NA,"NC_010444.4",NA
"2064","GPHA2",100516058,NA,"protein_coding","chromosome","2",7245287,7248268,2982,NA,1,NA,NA,"NC_010444.4",NA
"2065","PPP2R5B",100516242,NA,"protein_coding","chromosome","2",7248141,7256796,8656,NA,-1,NA,NA,"NC_010444.4",NA
"2066","ATG2A",100462717,"autophagy related 2A","protein_coding","chromosome","2",7261819,7282614,20796,NA,1,NA,NA,"NC_010444.4",NA
"2067","MIR194A",104794435,"microRNA 194a","miRNA","chromosome","2",7285466,7285541,76,NA,1,NA,NA,"NC_010444.4",NA
"2068","MIR192",100498725,"microRNA 192","miRNA","chromosome","2",7285667,7285746,80,NA,1,NA,NA,"NC_010444.4",NA
"2069","EHD1",100516416,NA,"protein_coding","chromosome","2",7299295,7321580,22286,NA,1,NA,NA,"NC_010444.4",NA
"2070","LOC110259240",110259240,NA,"lncRNA","chromosome","2",7309330,7313880,4551,NA,-1,NA,NA,"NC_010444.4",NA
"2071","CDC42BPG",100520358,NA,"protein_coding","chromosome","2",7328231,7347551,19321,NA,1,NA,NA,"NC_010444.4",NA
"2072","MEN1",100523533,NA,"protein_coding","chromosome","2",7358130,7364952,6823,NA,1,NA,NA,"NC_010444.4",NA
"2073","MAP4K2",100523716,NA,"protein_coding","chromosome","2",7365184,7378999,13816,NA,1,NA,NA,"NC_010444.4",NA
"2074","SF1",100523886,NA,"protein_coding","chromosome","2",7391295,7404693,13399,NA,1,NA,NA,"NC_010444.4",NA
"2075","PYGM",733659,NA,"protein_coding","chromosome","2",7409330,7421256,11927,NA,1,NA,NA,"NC_010444.4",NA
"2076","RASGRP2",100626093,"RAS guanyl releasing protein 2","protein_coding","chromosome","2",7424805,7440404,15600,NA,1,NA,NA,"NC_010444.4",NA
"2077","NRXN2",100524236,NA,"protein_coding","chromosome","2",7454771,7554180,99410,NA,1,NA,NA,"NC_010444.4",NA
"2078","SLC22A11",100524419,NA,"protein_coding","chromosome","2",7590391,7603567,13177,NA,-1,NA,NA,"NC_010444.4",NA
"2079","RPS6KA4",100626270,NA,"protein_coding","chromosome","2",7751965,7765301,13337,NA,-1,NA,NA,"NC_010444.4",NA
"2080","CCDC88B",100525503,NA,"protein_coding","chromosome","2",7767924,7784625,16702,NA,-1,NA,NA,"NC_010444.4",NA
"2081","LOC110259241",110259241,NA,"lncRNA","chromosome","2",7783952,7793723,9772,NA,1,NA,NA,"NC_010444.4",NA
"2082","PRDX5",397273,"peroxiredoxin 5","protein_coding","chromosome","2",7798672,7801955,3284,NA,-1,NA,NA,"NC_010444.4",NA
"2083","TRMT112",100520885,NA,"protein_coding","chromosome","2",7802184,7803556,1373,NA,1,NA,NA,"NC_010444.4",NA
"2084","ESRRA",100322868,"estrogen related receptor alpha","protein_coding","chromosome","2",7803504,7812868,9365,NA,-1,NA,NA,"NC_010444.4",NA
"2085","KCNK4",100524785,NA,"protein_coding","chromosome","2",7817062,7824390,7329,NA,-1,NA,NA,"NC_010444.4",NA
"2086","GPR137",100524971,NA,"protein_coding","chromosome","2",7826454,7831010,4557,NA,-1,NA,NA,"NC_010444.4",NA
"2087","BAD",100521065,NA,"protein_coding","chromosome","2",7831192,7842864,11673,NA,1,NA,NA,"NC_010444.4",NA
"2088","LOC106509317",106509317,NA,"lncRNA","chromosome","2",7841068,7842452,1385,NA,-1,NA,NA,"NC_010444.4",NA
"2089","PLCB3",100525148,NA,"protein_coding","chromosome","2",7844931,7860183,15253,NA,-1,NA,NA,"NC_010444.4",NA
"2090","PPP1R14B",397205,"protein phosphatase 1 regulatory inhibitor subunit 14B","protein_coding","chromosome","2",7865445,7867878,2434,NA,1,NA,NA,"NC_010444.4",NA
"2091","FKBP2",100522180,NA,"protein_coding","chromosome","2",7868229,7871184,2956,NA,-1,NA,NA,"NC_010444.4",NA
"2092","VEGFB",100521837,NA,"protein_coding","chromosome","2",7872873,7876149,3277,NA,-1,NA,NA,"NC_010444.4",NA
"2093","TRPT1",100521427,NA,"protein_coding","chromosome","2",7876028,7887589,11562,NA,1,NA,NA,"NC_010444.4",NA
"2094","DNAJC4",100522005,NA,"protein_coding","chromosome","2",7876587,7880908,4322,NA,-1,NA,NA,"NC_010444.4",NA
"2095","NUDT22",100521244,NA,"protein_coding","chromosome","2",7881056,7883825,2770,NA,-1,NA,NA,"NC_010444.4",NA
"2096","FERMT3",100525326,NA,"protein_coding","chromosome","2",7886781,7909892,23112,NA,-1,NA,NA,"NC_010444.4",NA
"2097","STIP1",100623923,NA,"protein_coding","chromosome","2",7911443,7939000,27558,NA,-1,NA,NA,"NC_010444.4",NA
"2098","MACROD1",100522538,"MACRO domain containing 1","protein_coding","chromosome","2",7939125,8087656,148532,NA,1,NA,NA,"NC_010444.4",NA
"2099","FLRT1",100522361,NA,"protein_coding","chromosome","2",7971782,8052572,80791,NA,-1,NA,NA,"NC_010444.4",NA
"2100","OTUB1",100302092,"OTU deubiquitinase, ubiquitin aldehyde binding 1","protein_coding","chromosome","2",8088528,8095555,7028,NA,-1,NA,NA,"NC_010444.4",NA
"2101","LOC100522725",100522725,NA,"protein_coding","chromosome","2",8101609,8103313,1705,NA,-1,NA,NA,"NC_010444.4",NA
"2102","NAA40",100525678,NA,"protein_coding","chromosome","2",8115288,8130075,14788,NA,-1,NA,NA,"NC_010444.4",NA
"2103","RCOR2",100526032,NA,"protein_coding","chromosome","2",8146680,8153680,7001,NA,1,NA,NA,"NC_010444.4",NA
"2104","MARK2",100737238,NA,"protein_coding","chromosome","2",8153870,8216141,62272,NA,-1,NA,NA,"NC_010444.4",NA
"2105","MIR7142",104794458,"microRNA 7142","miRNA","chromosome","2",8204941,8205000,60,NA,-1,NA,NA,"NC_010444.4",NA
"2106","C2H11orf84",100511001,NA,"protein_coding","chromosome","2",8227335,8239508,12174,NA,-1,NA,NA,"NC_010444.4",NA
"2107","C2H11orf95",100511737,NA,"protein_coding","chromosome","2",8282040,8292265,10226,NA,1,NA,NA,"NC_010444.4",NA
"2108","RTN3",100512087,NA,"protein_coding","chromosome","2",8291750,8354920,63171,NA,-1,NA,NA,"NC_010444.4",NA
"2109","ATL3",100512265,NA,"protein_coding","chromosome","2",8361579,8408920,47342,NA,1,NA,NA,"NC_010444.4",NA
"2110","PLA2G16",100512584,"phospholipase A2 group XVI","protein_coding","chromosome","2",8410540,8444604,34065,NA,1,NA,NA,"NC_010444.4",NA
"2111","LOC106509324",106509324,NA,"lncRNA","chromosome","2",8450186,8451372,1187,NA,1,NA,NA,"NC_010444.4",NA
"2112","LGALS12",100217395,"galectin 12","protein_coding","chromosome","2",8454362,8475360,20999,NA,-1,NA,NA,"NC_010444.4",NA
"2113","LOC110255291",110255291,NA,"protein_coding","chromosome","2",8545750,8576447,30698,NA,-1,NA,NA,"NC_010444.4",NA
"2114","LOC100737764",100737764,NA,"protein_coding","chromosome","2",8609119,8628612,19494,NA,-1,NA,NA,"NC_010444.4",NA
"2115","LOC110259244",110259244,NA,"lncRNA","chromosome","2",8677839,8699284,21446,NA,1,NA,NA,"NC_010444.4",NA
"2116","LOC100514700",100514700,NA,"protein_coding","chromosome","2",8685799,8704956,19158,NA,-1,NA,NA,"NC_010444.4",NA
"2117","LOC100737875",100737875,NA,"protein_coding","chromosome","2",8734036,8750828,16793,NA,-1,NA,NA,"NC_010444.4",NA
"2118","SLC22A6",397223,"solute carrier family 22 member 6","protein_coding","chromosome","2",8809547,8817124,7578,NA,1,NA,NA,"NC_010444.4",NA
"2119","LOC100622132",100622132,NA,"protein_coding","chromosome","2",8822835,8845847,23013,NA,1,NA,NA,"NC_010444.4",NA
"2120","CHRM1",397099,"cholinergic receptor muscarinic 1","protein_coding","chromosome","2",8858765,8872042,13278,NA,1,NA,NA,"NC_010444.4",NA
"2121","SLC3A2",100144589,NA,"protein_coding","chromosome","2",8892071,8919070,27000,NA,-1,NA,NA,"NC_010444.4",NA
"2122","LOC100627892",100627892,NA,"lncRNA","chromosome","2",8919230,8922581,3352,NA,1,NA,NA,"NC_010444.4",NA
"2123","WDR74",100627951,"WD repeat domain 74","protein_coding","chromosome","2",8931530,8936908,5379,NA,1,NA,NA,"NC_010444.4",NA
"2124","STX5",100628048,"syntaxin 5","protein_coding","chromosome","2",8937705,8968513,30809,NA,1,NA,NA,"NC_010444.4",NA
"2125","NXF1",100628213,"nuclear RNA export factor 1","protein_coding","chromosome","2",8968659,8983276,14618,NA,1,NA,NA,"NC_010444.4",NA
"2126","TAF6L",100620136,NA,"protein_coding","chromosome","2",8983823,8999990,16168,NA,-1,NA,NA,"NC_010444.4",NA
"2127","POLR2G",100620235,NA,"protein_coding","chromosome","2",9004388,9008631,4244,NA,-1,NA,NA,"NC_010444.4",NA
"2128","ZBTB3",100620556,NA,"protein_coding","chromosome","2",9017560,9021244,3685,NA,1,NA,NA,"NC_010444.4",NA
"2129","TTC9C",100621273,NA,"protein_coding","chromosome","2",9023692,9034558,10867,NA,-1,NA,NA,"NC_010444.4",NA
"2130","HNRNPUL2",100620658,NA,"protein_coding","chromosome","2",9034669,9048906,14238,NA,1,NA,NA,"NC_010444.4",NA
"2131","BSCL2",100144883,"BSCL2, seipin lipid droplet biogenesis associated","protein_coding","chromosome","2",9052676,9064890,12215,NA,1,NA,NA,"NC_010444.4",NA
"2132","GNG3",100620948,NA,"protein_coding","chromosome","2",9053099,9055070,1972,NA,-1,NA,NA,"NC_010444.4",NA
"2133","LOC110259246",110259246,NA,"lncRNA","chromosome","2",9062508,9064090,1583,NA,-1,NA,NA,"NC_010444.4",NA
"2134","LRRN4CL",100620756,NA,"protein_coding","chromosome","2",9065340,9067639,2300,NA,1,NA,NA,"NC_010444.4",NA
"2135","UBXN1",100621165,NA,"protein_coding","chromosome","2",9072549,9075595,3047,NA,1,NA,NA,"NC_010444.4",NA
"2136","LOC100621476",100621476,NA,"protein_coding","chromosome","2",9077055,9078649,1595,NA,-1,NA,NA,"NC_010444.4",NA
"2137","METTL12",100620846,NA,"protein_coding","chromosome","2",9082704,9084158,1455,NA,-1,NA,NA,"NC_010444.4",NA
"2138","C2H11orf98",100621377,NA,"protein_coding","chromosome","2",9084212,9090032,5821,NA,1,NA,NA,"NC_010444.4",NA
"2139","INTS5",100621046,NA,"protein_coding","chromosome","2",9095646,9100487,4842,NA,1,NA,NA,"NC_010444.4",NA
"2140","GANAB",396938,"glucosidase II alpha subunit","protein_coding","chromosome","2",9100672,9118396,17725,NA,1,NA,NA,"NC_010444.4",NA
"2141","B3GAT3",397642,NA,"protein_coding","chromosome","2",9119621,9125081,5461,NA,1,NA,NA,"NC_010444.4",NA
"2142","ROM1",100622038,NA,"protein_coding","chromosome","2",9125377,9127615,2239,NA,-1,NA,NA,"NC_010444.4",NA
"2143","EML3",100515768,NA,"protein_coding","chromosome","2",9127680,9137651,9972,NA,1,NA,NA,"NC_010444.4",NA
"2144","MTA2",100515941,NA,"protein_coding","chromosome","2",9137818,9146966,9149,NA,1,NA,NA,"NC_010444.4",NA
"2145","TUT1",100516127,NA,"protein_coding","chromosome","2",9148563,9161918,13356,NA,1,NA,NA,"NC_010444.4",NA
"2146","EEF1G",397022,NA,"protein_coding","chromosome","2",9163220,9173400,10181,NA,1,NA,NA,"NC_010444.4",NA
"2147","AHNAK",106504153,NA,"protein_coding","chromosome","2",9186984,9216450,29467,NA,1,NA,NA,"NC_010444.4",NA
"2148","LOC102164954",102164954,NA,"lncRNA","chromosome","2",9283109,9287458,4350,NA,1,NA,NA,"NC_010444.4",NA
"2149","LOC106509330",106509330,NA,"lncRNA","chromosome","2",9322551,9324852,2302,NA,1,NA,NA,"NC_010444.4",NA
"2150","ASRGL1",100517023,NA,"protein_coding","chromosome","2",9328260,9353384,25125,NA,-1,NA,NA,"NC_010444.4",NA
"2151","PHEROC",100144470,"pheromaxein C subunit","protein_coding","chromosome","2",9376019,9379433,3415,NA,-1,NA,"partial","NC_010444.4",NA
"2152","SCGB1D1",449006,"secretoglobin family 1D member 1","protein_coding","chromosome","2",9387546,9391171,3626,NA,-1,NA,NA,"NC_010444.4",NA
"2153","INCENP",100516847,NA,"protein_coding","chromosome","2",9411942,9445825,33884,NA,-1,NA,NA,"NC_010444.4",NA
"2154","FTH1",397030,"ferritin heavy chain 1","protein_coding","chromosome","2",9535051,9537979,2929,NA,1,NA,NA,"NC_010444.4",NA
"2155","BEST1",397169,NA,"protein_coding","chromosome","2",9538082,9550975,12894,NA,-1,NA,NA,"NC_010444.4",NA
"2156","RAB3IL1",100739680,NA,"protein_coding","chromosome","2",9577334,9599988,22655,NA,1,NA,NA,"NC_010444.4",NA
"2157","FADS3",100518057,"fatty acid desaturase 3","protein_coding","chromosome","2",9607627,9627352,19726,NA,1,NA,NA,"NC_010444.4",NA
"2158","LOC110259247",110259247,NA,"lncRNA","chromosome","2",9620614,9626043,5430,NA,-1,NA,NA,"NC_010444.4",NA
"2159","FADS2",444997,"fatty acid desaturase 2","protein_coding","chromosome","2",9633941,9666666,32726,NA,-1,NA,NA,"NC_010444.4",NA
"2160","LOC106509334",106509334,NA,"lncRNA","chromosome","2",9638488,9645166,6679,NA,1,NA,NA,"NC_010444.4",NA
"2161","LOC100739565",100739565,NA,"lncRNA","chromosome","2",9663891,9671792,7902,NA,1,NA,NA,"NC_010444.4",NA
"2162","FADS1",444995,"fatty acid desaturase 1","protein_coding","chromosome","2",9735425,9747405,11981,NA,1,NA,"partial","NC_010444.4",NA
"2163","FEN1",100517749,NA,"protein_coding","chromosome","2",9752004,9756863,4860,NA,-1,NA,NA,"NC_010444.4",NA
"2164","TMEM258",100517573,NA,"protein_coding","chromosome","2",9756970,9760615,3646,NA,1,NA,NA,"NC_010444.4",NA
"2165","MYRF",100520659,NA,"protein_coding","chromosome","2",9761230,9795873,34644,NA,-1,NA,NA,"NC_010444.4",NA
"2166","DAGLA",100520824,NA,"protein_coding","chromosome","2",9802011,9863808,61798,NA,-1,NA,NA,"NC_010444.4",NA
"2167","SYT7",100521541,NA,"protein_coding","chromosome","2",9947962,10012713,64752,NA,1,NA,NA,"NC_010444.4",NA
"2168","LRRC10B",100520292,NA,"protein_coding","chromosome","2",10016195,10019573,3379,NA,-1,NA,NA,"NC_010444.4",NA
"2169","PPP1R32",100521178,NA,"protein_coding","chromosome","2",10037722,10046324,8603,NA,-1,NA,NA,"NC_010444.4",NA
"2170","SDHAF2",100519294,NA,"protein_coding","chromosome","2",10074965,10088185,13221,NA,-1,NA,NA,"NC_010444.4",NA
"2171","CPSF7",100519008,NA,"protein_coding","chromosome","2",10087581,10112929,25349,NA,1,NA,NA,"NC_010444.4",NA
"2172","TMEM216",100519467,NA,"protein_coding","chromosome","2",10107598,10122266,14669,NA,-1,NA,NA,"NC_010444.4",NA
"2173","TMEM138",100519941,NA,"protein_coding","chromosome","2",10134866,10143049,8184,NA,-1,NA,NA,"NC_010444.4",NA
"2174","LOC100519643",100519643,NA,"protein_coding","chromosome","2",10142102,10159160,17059,NA,1,NA,NA,"NC_010444.4",NA
"2175","TKFC",100520121,NA,"protein_coding","chromosome","2",10158183,10171452,13270,NA,-1,NA,NA,"NC_010444.4",NA
"2176","LOC106509335",106509335,NA,"lncRNA","chromosome","2",10165671,10167573,1903,NA,1,NA,NA,"NC_010444.4",NA
"2177","DDB1",100522239,NA,"protein_coding","chromosome","2",10171554,10201602,30049,NA,1,NA,NA,"NC_010444.4",NA
"2178","VWCE",100522060,NA,"protein_coding","chromosome","2",10206010,10240493,34484,NA,1,NA,NA,"NC_010444.4",NA
"2179","PGA5",396892,"pepsinogen 5, group I (pepsinogen A)","protein_coding","chromosome","2",10244300,10252644,8345,NA,-1,NA,NA,"NC_010444.4",NA
"2180","LOC110259249",110259249,NA,"protein_coding","chromosome","2",10280973,10290060,9088,NA,-1,NA,NA,"NC_010444.4",NA
"2181","LOC100522849",100522849,NA,"protein_coding","chromosome","2",10340130,10349422,9293,NA,1,NA,NA,"NC_010444.4",NA
