"","MAG","taxonomy","domain","phylum","class","order","family","genus","species","lowest","ani","reference","old_MAG"
"85","MAG085","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_F","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Eubacterium",NA,"g__Eubacterium_F",NA,NA,"D300053:bin_000008"
"86","MAG086","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__W0P31-042;s__W0P31-042 sp004557195","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","W0P31-042","W0P31-042 sp004557195","s__W0P31-042 sp004557195",98.28,"GCA_004557195.1","D300053:bin_000011"
"87","MAG087","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__UBA1394 sp002305725","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","UBA1394","UBA1394 sp002305725","s__UBA1394 sp002305725 (1)",95.05,"GCA_002305725.1","D300053:bin_000012"
"88","MAG088","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp945787885","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp945787885","s__Alloprevotella sp945787885",98.16,"GCA_945787885.1","D300053:bin_000017"
"89","MAG089","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-917;g__CAG-349;s__CAG-349 sp001940895","Bacteria","Bacillota","Clostridia","Christensenellales","CAG-917","CAG-349","CAG-349 sp001940895","s__CAG-349 sp001940895",98.34,"GCA_001940895.1","D300053:bin_000019"
"90","MAG090","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp945648485","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira sp945648485","s__Lachnospira sp945648485",98.54,"GCA_945648485.1","D300053:bin_000020"
"91","MAG091","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS1889;s__UMGS1889 sp945877315","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","UMGS1889","UMGS1889 sp945877315","s__UMGS1889 sp945877315",97.28,"GCA_945877315.1","D300053:bin_000028"
"92","MAG092","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp945868435","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp945868435","s__Agathobacter sp945868435",98.37,"GCA_945868435.1","D300053:bin_000030"
"93","MAG093","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA,"g__Agathobacter (1)",NA,NA,"D300053:bin_000034"
"94","MAG094","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__F23-B02","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","F23-B02",NA,"g__F23-B02",NA,NA,"D300053:bin_000037"
"95","MAG095","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp004554455","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp004554455","s__Cryptobacteroides sp004554455",97.98,"GCA_004554455.1","D300053:bin_000040"
"96","MAG096","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_Q","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Clostridium",NA,"g__Clostridium_Q",NA,NA,"D300053:bin_000041"
"97","MAG097","d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__RUG591;s__RUG591 sp945871105","Bacteria","Bacillota","Bacilli","RF39","UBA660","RUG591","RUG591 sp945871105","s__RUG591 sp945871105",96.87,"GCA_945871105.1","D300053:bin_000055"
"98","MAG098","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-269","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","CAG-269",NA,"g__CAG-269 (2)",NA,NA,"D300053:bin_000056"
"99","MAG099","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter",NA,"g__Dysosmobacter (2)",NA,NA,"D300053:bin_000079"
"100","MAG100","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp022777585","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","UBA932","Cryptobacteroides","Cryptobacteroides sp022777585","s__Cryptobacteroides sp022777585",97.25,"GCA_022777585.1","D300053:bin_000083"
"101","MAG101","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA,"g__Phascolarctobacterium_A (2)",NA,NA,"D300053:bin_000087"
"102","MAG102","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS363","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","UMGS363",NA,"g__UMGS363 (1)",NA,NA,"D300055:bin_000001"
"103","MAG103","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA,"g__Phascolarctobacterium_A (3)",NA,NA,"D300055:bin_000007"
"104","MAG104","d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus crispatus","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus crispatus","s__Lactobacillus crispatus",97.86,"GCF_018987235.1","D300055:bin_000008"
"105","MAG105","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-590",NA,"g__CAG-590 (1)",NA,NA,"D300055:bin_000009"
"106","MAG106","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004552155","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004552155","s__Alloprevotella sp004552155",96.62,"GCA_004552155.1","D300055:bin_000010"
"107","MAG107","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Paraprevotella",NA,"g__Paraprevotella",NA,NA,"D300055:bin_000013"
"108","MAG108","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-194;s__CAG-194 sp000432915","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-194","CAG-194 sp000432915","s__CAG-194 sp000432915",96.65,"GCA_000432915.1","D300055:bin_000016"
"109","MAG109","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__SFTJ01;s__SFTJ01 sp004563195","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","SFTJ01","SFTJ01 sp004563195","s__SFTJ01 sp004563195",97.48,"GCA_004563195.1","D300055:bin_000017"
"110","MAG110","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Bacteroides_F","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Bacteroides",NA,"g__Bacteroides_F",NA,NA,"D300055:bin_000031"
"111","MAG111","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539885","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium sp900539885","s__Faecalibacterium sp900539885",96.58,"GCF_023347535.1","D300055:bin_000032"
"112","MAG112","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Faecousia","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Faecousia",NA,"g__Faecousia (1)",NA,NA,"D300055:bin_000034"
"113","MAG113","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella",NA,"g__Prevotella (1)",NA,NA,"D300055:bin_000037"
"114","MAG114","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Eubacterium_R","Bacteria","Bacillota","Clostridia","Oscillospirales","Acutalibacteraceae","Eubacterium",NA,"g__Eubacterium_R (1)",NA,NA,"D300057:bin_000002"
"115","MAG115","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__COE1","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","COE1",NA,"g__COE1 (2)",NA,NA,"D300057:bin_000011"
"116","MAG116","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900550545","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp900550545","s__Agathobacter sp900550545",97.72,"GCA_900550545.1","D300057:bin_000014"
"117","MAG117","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__UBA1242;g__UBA7867","Bacteria","Bacillota","Clostridia","Christensenellales","UBA1242","UBA7867",NA,"g__UBA7867 (1)",NA,NA,"D300057:bin_000025"
"118","MAG118","d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Sphaerochaetales;f__Sphaerochaetaceae;g__Ornithospirochaeta","Bacteria","Spirochaetota","Spirochaetia","Sphaerochaetales","Sphaerochaetaceae","Ornithospirochaeta",NA,"g__Ornithospirochaeta (1)",NA,NA,"D300057:bin_000028"
"119","MAG119","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-873",NA,"g__CAG-873",NA,NA,"D300057:bin_000034"
"120","MAG120","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Wujia",NA,"g__Wujia (1)",NA,NA,"D300057:bin_000035"
"121","MAG121","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004556745","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004556745","s__Alloprevotella sp004556745",95.82,"GCA_004556745.1","D300059:bin_000002"
"122","MAG122","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__HGM12545","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","HGM12545",NA,"g__HGM12545",NA,NA,"D300059:bin_000003"
"123","MAG123","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Butyribacter","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Butyribacter",NA,"g__Butyribacter (3)",NA,NA,"D300059:bin_000009"
"124","MAG124","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__SFTJ01","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","SFTJ01",NA,"g__SFTJ01",NA,NA,"D300059:bin_000012"
"125","MAG125","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002251435","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002251435","s__Prevotella sp002251435",97.84,"GCF_002251435.1","D300059:bin_000015"
"126","MAG126","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__W0P33-017;s__W0P33-017 sp022768825","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","W0P33-017","W0P33-017 sp022768825","s__W0P33-017 sp022768825",97.74,"GCA_022768825.1","D300059:bin_000021"
"127","MAG127","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__Scatovivens","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","Scatovivens",NA,"g__Scatovivens",NA,NA,"D300059:bin_000029"
"128","MAG128","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__OM05-12","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","OM05-12",NA,"g__OM05-12",NA,NA,"D300059:bin_000031"
"129","MAG129","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Dysosmobacter","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Dysosmobacter",NA,"g__Dysosmobacter (3)",NA,NA,"D300059:bin_000047"
"130","MAG130","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp018919065","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Blautia","Blautia_A sp018919065","s__Blautia_A sp018919065",96.89,"GCF_018919065.1","D300059:bin_000052"
"131","MAG131","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__P3;g__Onthomorpha;s__Onthomorpha sp004551865","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","P3","Onthomorpha","Onthomorpha sp004551865","s__Onthomorpha sp004551865",98.32,"GCA_004551865.1","D300061:bin_000002"
"132","MAG132","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella copri_A","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella copri","s__Prevotella copri_A",96.16,"GCF_002224675.1","D300061:bin_000003"
"133","MAG133","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pararoseburia","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Pararoseburia",NA,"g__Pararoseburia (1)",NA,NA,"D300061:bin_000005"
"134","MAG134","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UMGS363","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","UMGS363",NA,"g__UMGS363 (2)",NA,NA,"D300061:bin_000007"
"135","MAG135","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp004561555","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","Limisoma","Limisoma sp004561555","s__Limisoma sp004561555",98.88,"GCA_004561555.1","D300061:bin_000008"
"136","MAG136","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp000435835","Bacteria","Bacillota","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium sp000435835","s__Clostridium sp000435835",98.06,"GCA_000435835.1","D300061:bin_000015"
"137","MAG137","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp004555425","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp004555425","s__Alloprevotella sp004555425",97.29,"GCA_004555425.1","D300061:bin_000017"
"138","MAG138","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira",NA,"g__Lachnospira",NA,NA,"D300061:bin_000026"
"139","MAG139","d__Bacteria;p__Bacillota_A;c__Clostridia;o__UBA1381;f__UBA1381","Bacteria","Bacillota","Clostridia","UBA1381","UBA1381",NA,NA,"f__UBA1381 (2)",NA,NA,"D300061:bin_000027"
"140","MAG140","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor intestinalis","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Acetatifactor","Acetatifactor intestinalis","s__Acetatifactor intestinalis",98.88,"GCF_009695995.1","D300061:bin_000028"
"141","MAG141","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_M","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii","s__Faecalibacterium prausnitzii_M",99.25,"GCA_004558805.1","D300061:bin_000029"
"142","MAG142","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__RGIG7179;s__RGIG7179 sp016302925","Bacteria","Bacillota","Clostridia","Peptostreptococcales","Anaerovoracaceae","RGIG7179","RGIG7179 sp016302925","s__RGIG7179 sp016302925",97.54,"GCA_016302925.1","D300061:bin_000031"
"143","MAG143","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp002299275","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp002299275","s__Prevotella sp002299275",98.97,"GCA_945875635.1","D300061:bin_000034"
"144","MAG144","d__Bacteria;p__Bacillota_A;c__Clostridia;o__TANB77;f__CAG-508;g__CAG-245","Bacteria","Bacillota","Clostridia","TANB77","CAG-508","CAG-245",NA,"g__CAG-245",NA,NA,"D300061:bin_000036"
"145","MAG145","d__Bacteria;p__Bacillota;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Bulleidia","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Bulleidia",NA,"g__Bulleidia (2)",NA,NA,"D300061:bin_000039"
"146","MAG146","d__Bacteria;p__Bacillota;c__Bacilli;o__RF39;f__UBA660;g__UMGS1498;s__UMGS1498 sp900552335","Bacteria","Bacillota","Bacilli","RF39","UBA660","UMGS1498","UMGS1498 sp900552335","s__UMGS1498 sp900552335",98.23,"GCA_900552335.1","D300061:bin_000056"
"147","MAG147","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-590;s__CAG-590 sp000431135","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-590","CAG-590 sp000431135","s__CAG-590 sp000431135",98.02,"GCA_000431135.1","D300061:bin_000062"
"148","MAG148","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-95;s__CAG-95 sp017622575","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","CAG-95","CAG-95 sp017622575","s__CAG-95 sp017622575",97.78,"GCA_017622575.1","D300061:bin_000080"
"149","MAG149","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium",NA,"g__Phascolarctobacterium_A (4)",NA,NA,"D300061:bin_000088"
"150","MAG150","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Vescimonas","Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Vescimonas",NA,"g__Vescimonas",NA,NA,"D300061:bin_000095"
"151","MAG151","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminococcus_C;s__Ruminococcus_C sp000433635","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","Ruminococcus_C sp000433635","s__Ruminococcus_C sp000433635",96.66,"GCA_000433635.1","D300063:bin_000002"
"152","MAG152","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp004561545","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Gemmiger","Gemmiger sp004561545","s__Gemmiger sp004561545",98.74,"GCA_004561545.1","D300063:bin_000008"
"153","MAG153","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__Wujia sp900553925","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Wujia","Wujia sp900553925","s__Wujia sp900553925",97.09,"GCA_900553925.1","D300063:bin_000009"
"154","MAG154","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira sp900316325","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira","Lachnospira sp900316325","s__Lachnospira sp900316325",98.76,"GCF_014287955.1","D300063:bin_000015"
"155","MAG155","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA11957;s__UBA11957 sp945827805","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","UBA11957","UBA11957 sp945827805","s__UBA11957 sp945827805",98.65,"GCA_945827805.1","D300063:bin_000023"
"156","MAG156","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii","Bacteria","Bacillota","Negativicutes","Selenomonadales","Selenomonadaceae","Mitsuokella","Mitsuokella jalaludinii","s__Mitsuokella jalaludinii",97.52,"GCF_000702905.1","D300063:bin_000026"
"157","MAG157","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900317585","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp900317585","s__Agathobacter sp900317585",98.36,"GCA_900317585.1","D300063:bin_000028"
"158","MAG158","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_E","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Faecalibacterium","Faecalibacterium prausnitzii","s__Faecalibacterium prausnitzii_E",97.12,"GCF_019967995.1","D300063:bin_000034"
"159","MAG159","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter sp900549895","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter","Agathobacter sp900549895","s__Agathobacter sp900549895",97.65,"GCA_900549895.1","D300063:bin_000052"
"160","MAG160","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp900553055","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium_A sp900553055","s__Phascolarctobacterium_A sp900553055",97.27,"GCA_900553055.1","D300063:bin_000060"
"161","MAG161","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Alloprevotella;s__Alloprevotella sp022772475","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Alloprevotella","Alloprevotella sp022772475","s__Alloprevotella sp022772475",97.99,"GCA_022772475.1","D300063:bin_000063"
"162","MAG162","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__Prevotella sp022788105","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Prevotella","Prevotella sp022788105","s__Prevotella sp022788105",98.5,"GCA_022788105.1","D300063:bin_000065"
"163","MAG163","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp004553095","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","CAG-485 sp004553095","s__CAG-485 sp004553095",98.58,"GCA_004553095.1","D300065:bin_000004"
"164","MAG164","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-485;s__CAG-485 sp900321585","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","CAG-485","CAG-485 sp900321585","s__CAG-485 sp900321585",98.59,"GCA_902796035.1","D300065:bin_000005"
"165","MAG165","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__SFTJ01;s__SFTJ01 sp004557385","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","SFTJ01","SFTJ01 sp004557385","s__SFTJ01 sp004557385",97.57,"GCA_004557385.1","D300065:bin_000006"
"166","MAG166","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Ruminiclostridium_E","Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Ruminiclostridium",NA,"g__Ruminiclostridium_E (3)",NA,NA,"D300065:bin_000007"
"167","MAG167","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Pararoseburia","Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Pararoseburia",NA,"g__Pararoseburia (2)",NA,NA,"D300065:bin_000008"
"168","MAG168","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__UBA4372;s__UBA4372 sp900766785","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","UBA4372","UBA4372 sp900766785","s__UBA4372 sp900766785",97.76,"GCA_900766785.1","D300065:bin_000010"
"169","MAG169","d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium_A;s__Phascolarctobacterium_A sp004558595","Bacteria","Bacillota","Negativicutes","Acidaminococcales","Acidaminococcaceae","Phascolarctobacterium","Phascolarctobacterium_A sp004558595","s__Phascolarctobacterium_A sp004558595 (1)",96.98,"GCA_004558595.1","D300065:bin_000014"
